id,reparto,Director
60195,"['Alberto Sordi', 'Vittorio De Sica', 'Anne Vernon', 'Tina Pica']",Giorgio Bianchi
103753,"['Isabelle Huppert', 'Yu Jun-sang', 'Jung Yu-mi', 'Moon Sung-keun', 'Youn Yuh-jung', 'Kwon Hae-hyo', 'Moon So-ri']",Hong Sang-soo
164123,"['Peter Falk', 'Andrew McCarthy', 'Nastassja Kinski', 'Ruby Dee', 'Aaron Meeks', 'Gillian Barber', 'Lillian Carlson', 'Keith Martin Gordey', 'Ingrid Torrance', 'Rydyr Morse', 'Ty Olsson', 'Gregor Trpin', 'Alvin Sanders']",Robert Wise
40251,"['Ami Dolenz', 'Timothy Gibbs', 'Laraine Newman', 'John Gatins', 'Julie Michaels', 'Christopher Michael Moore', 'Sarah Kaite Coughlan', 'Marvin Kaplan', 'Jeff Feringa', 'Todd Allen', 'Kenny Rhodes', 'Heather Elizabeth Parkhurst']",Kevin Tenney
25563,"['Bette Davis', 'Humphrey Bogart', 'Lola Lane', 'Isabel Jewell', 'Mayo Methot', 'Eduardo Ciannelli', 'Rosalind Marquis', 'Jane Bryan', 'Allen Jenkins', 'Mark Strong']",Michael Curtiz
206581,"['Greta Garbo', 'Lars Hanson', 'Lowell Sherman', 'Polly Moran', 'Dorothy Cumming', 'Johnny Mack Brown', 'Cesare Gravina', 'Paulette Duval', 'Jean De Briac']",Victor Sjöström
29262,"['Fernanda Montenegro', 'Ruy Guerra', 'Fernanda Torres', 'Seu Jorge', 'Stênio Garcia', 'Luiz Melodia', 'Enrique Díaz', 'Emiliano Queiroz', 'João Acaiabe', 'Jorge Mautner']",Andrucha Waddington
86819,"['Miroslav Krobot', 'Marie Ludvíková', 'Karel Roden', 'Leos Noha', 'Tereza Voříšková', 'Alois Švehlík', 'David Švehlík', 'Ondřej Malý', 'Ján Sedal', 'Marek Daniel', 'Simona Babčáková', 'Ivan Trojan']",Tomáš Luňák
411632,"['Steven Seagal', 'Jonathan Rosenthal', 'Ovidiu Niculescu', 'Alexandre Nguyen', 'Florin Piersic Jr.', 'Jade Ewen', 'Jacob Grodnik', 'Troy Miller', 'Claudiu Bleont']",Keoni Waxman
128854,"['Edmund Gwenn', 'Donald Crisp', 'Tom Drake', 'Janet Leigh', 'Rhys Williams', 'Alan Napier', 'Reginald Owen', 'Edmund Breon']",Fred M. Wilcox
292483,"['Shane Dawson', 'Cherami Leigh', 'Drew Monson', 'Michelle Veintimilla', 'Lisa Schwartz']",Shane Dawson
156007,"['Cheng Pei-Pei', 'Lo Lieh', 'Cheng Lui', 'Cheng Miu', 'Wu Ma', 'Lam Kau', 'Chui Chung-Hok', 'Ku Feng', 'Tong Kai', 'Yeung Chi-Hing', 'Wang Kuang-Yu', 'Lau Kar-Wing', 'David Chiang', 'Shum Lo', 'Yau Ming', 'Cliff Lok', 'Lau Gong']",Chang Cheh
370178,"['Meegan Warner', 'Ian Meadows', 'Olivia DeJonge', 'Josh Quong Tart', 'Patrick Harvey', 'Cassandra Magrath', 'Steve Mouzakis', 'John Brumpton', 'Sigrid Thornton']",Cameron Cairnes
290727,"['Haviland Stillwell', 'Laura Bailey', 'Paula Rhodes', 'Kate Higgins']",William Lau
54769,"['Paul Dahlke', 'Günther Lüders', 'Claus Biederstaedt', 'Margarete Haagen', 'Nicole Heesters', 'Franz Muxeneder', 'Eva Maria Meineke', 'Fritz Imhoff', 'Ulrich Bettac']",Kurt Hoffmann
